n,AverageRounds,MaxRounds,MinRounds
100,19.1,25,14
110,19.6,25,15
120,20.5,32,15
130,20.6,24,17
140,21.9,30,17
150,26.6,34,20
160,24.3,32,18
170,24.4,35,19
180,26.3,37,15
190,25.8,36,20
200,26.1,36,16
210,26.2,34,20
220,29.2,38,21
230,31.5,43,24
240,33.2,43,26
250,31.0,38,22
260,30.2,42,19
270,29.8,35,22
280,28.2,36,22
290,31.5,41,24
300,33.4,45,26
310,34.1,45,27
320,30.5,47,21
330,32.7,45,23
340,37.4,58,23
350,31.8,53,22
360,35.2,47,29
370,37.0,53,26
380,32.4,43,26
390,37.8,66,27
400,37.2,53,27
410,31.9,41,22
420,33.9,47,22
430,39.2,56,31
440,33.5,43,26
450,36.8,53,30
460,41.3,54,34
470,40.4,58,28
480,38.8,52,26
490,37.3,55,23
500,39.1,60,23
510,34.9,42,24
520,38.0,46,28
530,37.9,50,25
540,40.8,53,29
550,38.1,48,30
560,39.5,59,31
570,42.0,64,29
580,36.8,47,25
590,44.6,68,31
600,40.1,45,34
610,46.2,58,33
620,37.1,51,27
630,36.6,63,25
640,49.4,66,33
650,44.4,53,28
660,43.1,52,35
670,45.5,57,33
680,53.6,67,43
690,39.2,56,24
700,42.7,50,35
710,45.3,53,33
720,44.6,57,38
730,47.7,74,30
740,43.0,57,33
750,46.2,54,37
760,48.6,66,36
770,50.6,64,34
780,40.7,53,28
790,44.7,54,33
800,43.3,59,30
810,45.2,56,31
820,52.6,73,34
830,45.6,52,35
840,49.7,82,38
850,47.9,60,39
860,46.0,59,36
870,53.8,72,38
880,45.8,65,34
890,47.1,65,27
900,53.1,72,37
910,46.6,64,36
920,50.2,61,38
930,50.0,83,26
940,50.3,74,31
950,45.4,67,30
960,48.2,64,35
970,49.8,62,42
980,56.0,77,31
990,52.2,76,36
1000,50.8,67,37
